name
Aban Offshore
MKU
MMTC Ltd
"Modern Coach Factory, Raebareli"
MOIL
Moser Baer
Mother Dairy
Mphasis
MRF
MS Shoes
MSTC Limited
Mukand
Murugappa Group
Muthoot Finance
The Muthoot Group
Myntra
National Aluminium Company
National Fertilizers
National Mineral Development Corporation (NMDC)
National Payments Corporation of India (NPCI)
Nayara Energy
NBC Bearings
NBCC
NDTV
Nectar Lifesciences
Network 18
NHPC Limited
NIIT
Nilkamal Plastics
Nirma
NLC India Limited
Novanet
NTPC Limited
Nuclear Power Corporation of India
Nykaa
Oil and Natural Gas Corporation
Oil India
OMPL
One 97 Paytm
ONGC Videsh
Onida Electronics
OnMobile
Oracle Financial Services Software
Ordnance Factories Board
Oswald Labs
Pantaloons Fashion & Retail
Paramount Airways
Parle Agro
Parle Products
Patanjali Ayurved
Pawan Hans
Pentamedia Graphics
Persistent Systems
Petronet LNG
Pidilite Industries
Pine Labs
Piramal Enterprises
Power Finance Corporation
Power Grid Corporation of India
Power Trading Corporation of India
Praj
Punj Lloyd
Punjab & Sind Bank
Punjab National Bank
PVR Cinemas
Raheja Developers
Raheja Group
Rajesh Exports
Ramco Group
Ramco Systems
Ranbaxy Laboratories
Rapido
Rashtriya Chemicals & Fertilizers
Rashtriya Ispat Nigam
Raymond Group
Rediff.com
Reliance Capital
Reliance Communications
Reliance Digital
Reliance Entertainment
Reliance Fresh
Reliance Group
Reliance Health
Reliance Industries
Reliance Infrastructure
Reliance Jio
Reliance Life Insurance
Reliance MediaWorks
Reliance Naval and Engineering Limited
Reliance Petroleum
Reliance Power
Reliance Retail
RITES
Route Mobile
Royal Enfield
RPG Group
RPSG Group
Rural Electrification Corporation
Sahara India Pariwar
Samtel Avionics
Samtel Group
Saravana Bhavan
SAS Motors
Sasken Technologies
Sea6 Energy
Serum Institute of India
Shapoorji Pallonji Group
Shipping Corporation of India
Shoppers Stop
Shree Cement
Shree Ganesh Jewellery House
Shree Renuka Sugars
Shriram Group
Singareni Collieries Company
Skipper Limited
Skyroot Aerospace
Snapdeal
Sobha Ltd.
Sonata Software
South Indian Bank
SPI Cinemas
SpiceJet
State Bank of India
Steel Authority of India
Sterlite Industries
Sterlite Technologies
Suminter India Organics
Sun Group
Sun Pharmaceutical
Surya Roshni Limited
Suzlon
Swaraj Mazda
Swiggy
Synthite
T-Series
Tamil Nadu Newsprint and Papers Limited
Tamilnad Mercantile Bank Limited
TANLA
Tata Advanced Systems
Tata Business Support Services
Tata Chemicals
Tata Communications
Tata Consultancy Services
Tata Global Beverages
Tata Group
Tata Interactive Systems
Tata Motors
Tata Power
Tata Sky
Tata Steel
Tata Steel BSL
Tata Technologies
Tech Mahindra
Tega Industries Ltd.
Terumo Penpol
Thermax
Thyrocare
The Times Group
Titagarh Wagons
Titan Company
Torrent Group
Tractors and Farm Equipment Limited
TradeIndia
Travancore Cochin Chemicals
Travancore Titanium Products
TTK Prestige
TVS Motor Company
UCO Bank
UltraTech Cement
Union Bank of India
Unitech Group
United Breweries Group
UPL
USV Private Limited
V-Guard Industries
VA Tech Wabag
Vadilal
Vedanta Limited
Vicco Group
Videocon
Vijaya Bank
VIP Industries
Voltas
Voonik
VST Industries
Wadia Group
Walchandnagar Industries
WAPCOS Limited
Welspun Corp
Welspun Energy
Welspun Group
Welspun India
Welspun Investments and Commercials
Welspun Maxsteel
Welspun Retail
West Bengal Electronics Industry Development Corporation (WEBEL)
West Bengal Power Development Corporation (WBPDCL)
West Bengal State Coop Bank (WBSTCB)
West Bengal State Electricity Distribution Company (WBSEDCL)
West Bengal State Electricity Transmission Company (WBSETCL)
Wipro
XOLO
Yantra
Yatra
Yebhi
Yepme
Yes Bank
Zandu Realty
Zee Entertainment Enterprises
Zee News
Zensar Technologies
Zeta
Zoho Corporation
Zomato
